year,month,bev,phev,hev,ldv
2023,12,121647,41143,117098,1458853
2024,1,82336,25086,91929,1070527
2024,2,74141,27167,105933,1228996
2024,3,96743,32728,123870,1432132
2024,4,99313,26263,118822,1317481
2024,5,107423,26777,139053,1431081
2024,6,100242,23635,135609,1308997
2024,7,113327,23172,134073,1285711
2024,8,118961,26413,150630,1412345
2024,9,104977,20789,127486,1171666
2024,10,98289,26264,150683,1331769
2024,11,114564,29743,160025,1373493
2024,12,133103,30687,170935,1494220
2025,1,94035,22160,133489,1106120
2025,2,86040,22804,148162,1215074
2025,3,120820,37376,194998,1593017
2025,4,96348,32865,190169,1463622
2025,5,101750,26900,193411,1461067
2025,6,111577,19507,156246,1272469
2025,7,126356,22998,172269,1389685
2025,8,148234,27597,187113,1466105
2025,9,140579,20040,150988,1241581
2025,10,83292,12441,173481,1281615
2025,11,54634,12346,175814,1279378
2025,12,75840,13456,199963,1459728
2026,1,71323,10199,151689,1104418
2026,2,58284,10927,163637,1178786
2026,3,76058,13155,206867,1388654
2026,4,89113,16791,223384,1386531
2026,5,101312,18562,255157,1488150
2026,6,98327,16866,222226,1382248
2026,7,73410,17569,217480,1363697
2026,8,86186,20103,216324,1380744
