"pair_id","year","make","model","trim_hyb","trim_ice","trim_key","trim_key_hyb","body_type_hyb","drive_type_hyb","drive_type_ice","truck_bed","package_hyb","package_ice","msrp_hyb","msrp_ice","hp_hyb","hp_ice","mpg_combined_hyb","mpg_combined_ice","curb_weight_hyb","curb_weight_ice"
181,2024,"Hyundai","Santa Fe","SEL Hybrid","SEL","sel","sel","SUV","front wheel drive","front wheel drive",,"","",36950,36450,231,277,36,24,4431,4343
182,2024,"Hyundai","Santa Fe","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",45650,45150,231,277,34,23,4575,4486
183,2024,"Hyundai","Santa Fe","SEL Hybrid","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"","",38750,38250,231,277,34,23,4575,4486
184,2024,"Hyundai","Santa Fe","Calligraphy Hybrid","Calligraphy","calligraphy","calligraphy","SUV","all wheel drive","all wheel drive",,"","",48800,48300,231,277,34,23,4575,4486
185,2025,"Hyundai","Santa Fe","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",46500,45500,231,277,34,23,4575,4486
186,2025,"Hyundai","Santa Fe","SEL Hybrid","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"","",39600,38600,231,277,34,23,4575,4486
187,2025,"Hyundai","Santa Fe","Limited Hybrid","Limited","limited","limited","SUV","front wheel drive","front wheel drive",,"","",44700,43700,231,277,36,24,4431,4343
188,2025,"Hyundai","Santa Fe","SEL Hybrid","SEL","sel","sel","SUV","front wheel drive","front wheel drive",,"","",37800,36800,231,277,36,24,4431,4343
189,2025,"Hyundai","Santa Fe","Calligraphy Hybrid","Calligraphy","calligraphy","calligraphy","SUV","front wheel drive","front wheel drive",,"","",47850,46850,231,277,36,24,4431,4343
190,2025,"Hyundai","Santa Fe","Calligraphy Hybrid","Calligraphy","calligraphy","calligraphy","SUV","all wheel drive","all wheel drive",,"","",49650,48650,231,277,34,23,4575,4486
191,2026,"Hyundai","Santa Fe","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",47500,46400,231,277,34,23,4575,4486
192,2026,"Hyundai","Santa Fe","SEL Hybrid","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"","",40490,39390,231,277,34,23,4575,4486
193,2026,"Hyundai","Santa Fe","Calligraphy Hybrid","Calligraphy","calligraphy","calligraphy","SUV","all wheel drive","all wheel drive",,"","",50500,49400,231,277,34,23,4575,4486
